文番号,文字数,単語数,平均単語長,主成分1,主成分2
327,68,43,1.5348837209302326,0.6383935026641018,0.11642194310716186
328,10,6,1.6666666666666667,-1.5372223777466596,0.612015350745021
329,21,16,1.3125,-0.8128451329625463,-1.3556532326532158
330,59,39,1.5128205128205128,0.3785729612982368,-0.04637231150266473
331,66,40,1.6,0.4734961974811289,0.47631030118212614
332,31,22,1.318181818181818,-0.46801236273633706,-1.2796340622874862
333,80,54,1.4814814814814814,1.1992426637426588,-0.12964787044894244
334,44,32,1.375,0.006695163679748399,-0.8949762932804748
335,48,31,1.5483870967741935,-0.06859097873777362,0.10630813961741417
336,71,49,1.4489795918367347,0.9190321216074085,-0.3537049605236066
337,34,21,1.619047619047619,-0.6503655432041827,0.44586722032909193
338,54,36,1.5,0.21310699573087824,-0.14133890580892572
339,50,34,1.4705882352941178,0.10513926922163983,-0.3259640506842058
340,63,44,1.431818181818182,0.6464204148848286,-0.48686100882391353
341,61,34,1.7941176470588236,0.08092511589039098,1.5573533714499215
342,13,10,1.3,-1.116363487640133,-1.4638907333009084
343,60,43,1.3953488372093024,0.5893110826177836,-0.7067327800283131
344,40,25,1.6,-0.41676156488556343,0.3639848889641591
345,29,18,1.6111111111111112,-0.8192330349169741,0.37877531105784684
346,44,29,1.5172413793103448,-0.17535107221198284,-0.08821326624486973
347,81,51,1.588235294117647,1.060195090355953,0.47792316708494903
348,68,40,1.65,0.4752388813094456,0.768372752770591
349,99,71,1.3943661971830985,2.0775129273724264,-0.5345815058981488
350,20,12,1.6666666666666667,-1.1884324343484198,0.6556064429237098
351,108,71,1.5211267605633805,2.153775086092595,0.21901348706102544
352,26,20,1.3,-0.6020842295037409,-1.4035137461643257
353,53,34,1.5588235294117647,0.09853540922220837,0.18766797353419215
354,57,37,1.5405405405405406,0.26738089278980587,0.10176857195312708
355,96,62,1.5483870967741935,1.6664530812924567,0.3192539493794073
356,67,49,1.3673469387755102,0.902754585982415,-0.8330011374795684
357,24,14,1.7142857142857142,-1.0931453972195821,0.9441467739221739
358,51,28,1.8214285714285712,-0.2868858615784494,1.6696350584560076
359,68,39,1.7435897435897436,0.38239698576636943,1.3008356923430453
360,48,33,1.4545454545454546,0.05208650553691022,-0.4259067591658566
361,44,26,1.6923076923076923,-0.38025864276865495,0.9058928756219802
362,87,62,1.403225806451613,1.6030063384606275,-0.5393602808888243
363,58,39,1.435897435897436,0.413864094217712,-0.4887462825754108
364,49,33,1.4848484848484849,0.04926448582384004,-0.24960932706371725
365,36,27,1.3333333333333333,-0.24884955126686253,-1.167992216210614
366,78,62,1.2580645161290325,1.5395595956287977,-1.3979745111570563
367,103,69,1.4927536231884058,2.026801090747373,0.03696846155422123
368,33,24,1.375,-0.41569798515202067,-0.9452864920524879
369,23,14,1.5,-0.9621863414598065,-0.2822027137603955
370,11,8,1.375,-1.2604842828155594,-1.045906889596514
371,75,51,1.4705882352941178,1.0324344292796757,-0.21361489541540474
372,64,42,1.5238095238095235,0.5453144991701329,0.038141275915464075
373,33,24,1.375,-0.41569798515202067,-0.9452864920524879
374,76,50,1.52,0.9886437422664321,0.07005690213141168
375,34,20,1.6,-0.6647597420182128,0.3354702362814905
376,22,14,1.5714285714285714,-1.030216565207856,0.12211687310546747
377,62,47,1.319148936170213,0.7895878654070185,-1.128193444219994
378,37,24,1.5416666666666667,-0.4586434493805465,0.01932786185241238
379,25,18,1.3888888888888888,-0.7375952107841491,-0.9029135851203602
380,27,16,1.6875,-0.964321139090008,0.8046860183190735
381,30,17,1.7647058823529411,-0.9355832768566325,1.2570551325854284
382,25,13,1.9230769230769231,-1.2479378868469642,2.1374515285293127
383,36,22,1.6363636363636365,-0.598199541014586,0.5530767250431333
384,67,44,1.5227272727272727,0.6562372596167112,0.04537896925374831
385,24,16,1.5,-0.8885831360262773,-0.2754836071670712
386,79,52,1.5192307692307692,1.0993484958100537,0.07908110937421073
387,96,61,1.5737704918032789,1.6211143483021884,0.4624399474517836
388,16,8,1.875,-1.5173010025987872,1.8245023997194696
389,91,62,1.467741935483871,1.6312048908303296,-0.15775395632516584
390,57,39,1.4615384615384617,0.377723178083096,-0.34575186791282136
391,52,33,1.5757575757575757,0.04079842668462948,0.27928296924270096
392,22,14,1.5714285714285714,-1.030216565207856,0.12211687310546747
393,17,12,1.4166666666666667,-1.0691655263923527,-0.7812720426199048
394,23,18,1.2777777777777777,-0.6967762987177368,-1.5437580332094631
395,34,22,1.5454545454545454,-0.5714505780042826,0.027532110507958972
396,16,11,1.4545454545454546,-1.1414897355248679,-0.5701182488885717
397,64,45,1.4222222222222225,0.6990466953387915,-0.5365950355797454
398,43,32,1.34375,0.010176712254823719,-1.0766784050804548
399,83,56,1.4821428571428572,1.30895105358618,-0.11245870338130197
400,36,22,1.6363636363636365,-0.598199541014586,0.5530767250431333
401,20,15,1.3333333333333333,-0.8732978225789699,-1.2417836734830112
402,36,25,1.44,-0.3784591838455536,-0.5625805198679447
403,29,18,1.6111111111111112,-0.8192330349169741,0.37877531105784684
404,35,18,1.9444444444444444,-0.9416897711162115,2.3013086553251556
405,30,16,1.875,-1.040059142153739,1.8848556438052182
406,84,58,1.4482758620689655,1.40614135034068,-0.29903011209005514
407,110,75,1.4666666666666666,2.3389109089221787,-0.0783706679526392
408,90,65,1.3846153846153846,1.753796962931408,-0.6304761360762049
409,51,33,1.5454545454545454,0.043620446397699665,0.10298553714056152
410,58,45,1.288888888888889,0.6822109358825517,-1.3176600276631527
411,36,23,1.565217391304348,-0.5209887000792455,0.14870650189468146
412,38,26,1.4615384615384617,-0.3292339556235085,-0.43127208290999336
413,43,27,1.5925925925925926,-0.30143357038927454,0.3351227534635322
414,28,20,1.4,-0.6351646695892933,-0.8260842065298846
415,56,40,1.4,0.4299596544256761,-0.6986348687142292
416,28,19,1.4736842105263157,-0.7141431082435823,-0.40722894708369645
417,94,66,1.4242424242424243,1.8269899829715543,-0.38923463845516876
418,81,49,1.653061224489796,0.9597259606698922,0.8445354818662969
419,63,46,1.3695652173913044,0.7450975703321221,-0.8387885276163903
420,27,13,2.076923076923077,-1.3185201526859145,3.022199470674806
421,44,29,1.5172413793103448,-0.17535107221198284,-0.08821326624486973
422,21,14,1.5,-0.9987521492019925,-0.28889807730288575
423,17,11,1.5454545454545454,-1.1865216024062641,-0.04792131612464357
424,24,14,1.7142857142857142,-1.0931453972195821,0.9441467739221739
